class_id,semester,dimension,score
1,2024-2025-1,teaching_attitude,88.0
1,2024-2025-1,content_depth,82.0
1,2024-2025-1,method_appropriateness,75.0
1,2024-2025-1,interaction_quality,70.0
1,2024-2025-1,overall_satisfaction,78.0
2,2024-2025-1,teaching_attitude,92.0
2,2024-2025-1,content_depth,90.0
2,2024-2025-1,method_appropriateness,88.0
2,2024-2025-1,interaction_quality,85.0
2,2024-2025-1,overall_satisfaction,90.0
3,2024-2025-1,teaching_attitude,85.0
3,2024-2025-1,content_depth,88.0
3,2024-2025-1,method_appropriateness,75.0
3,2024-2025-1,interaction_quality,72.0
3,2024-2025-1,overall_satisfaction,80.0
4,2024-2025-1,teaching_attitude,80.0
4,2024-2025-1,content_depth,85.0
4,2024-2025-1,method_appropriateness,68.0
4,2024-2025-1,interaction_quality,65.0
4,2024-2025-1,overall_satisfaction,72.0
